"brand","top_speed_kmh","battery_capacity_kWh","torque_nm","efficiency_wh_per_km","range_km","acceleration_0_100_s","fast_charging_power_kw_dc","cargo_volume_l","drivetrain","segment","length_mm","width_mm","height_mm","car_body_type","log_acceleration_0_100_s","log_cargo_volume_l","log_fast_charging_power_kw_dc","log_top_speed_kmh","log_torque_nm"
"Abarth",155,37.8,235,156,225,7,67,185,"FWD","B - Compact",3673,1683,1518,"Hatchback",1.94591014905531,5.22035582507832,4.20469261939097,5.04342511691925,5.45958551414416
"Abarth",155,37.8,235,149,225,7,67,185,"FWD","B - Compact",3673,1683,1518,"Hatchback",1.94591014905531,5.22035582507832,4.20469261939097,5.04342511691925,5.45958551414416
"Abarth",200,50.8,345,158,280,5.9,79,360,"FWD","JB - Compact",4187,1779,1557,"SUV",1.77495235091167,5.88610403145016,4.36944785246702,5.29831736654804,5.84354441703136
"Abarth",200,50.8,345,158,280,6.2,79,360,"FWD","JB - Compact",4187,1779,1557,"SUV",1.82454929205105,5.88610403145016,4.36944785246702,5.29831736654804,5.84354441703136
"Aiways",150,60,310,156,315,7.5,78,496,"FWD","JC - Medium",4680,1865,1700,"SUV",2.01490302054226,6.20657592672493,4.35670882668959,5.01063529409626,5.73657229747919
"Aiways",160,60,315,150,350,7,78,472,"FWD","JC - Medium",4805,1880,1641,"SUV",1.94591014905531,6.15697898558556,4.35670882668959,5.07517381523383,5.75257263882563
"Alfa",150,50.8,260,128,320,9,85,400,"FWD","JB - Compact",4173,1781,1532,"SUV",2.19722457733622,5.99146454710798,4.44265125649032,5.01063529409626,5.56068163101553
"Alfa",200,50.8,345,164,310,6,85,400,"FWD","JB - Compact",4173,1781,1505,"SUV",1.79175946922805,5.99146454710798,4.44265125649032,5.29831736654804,5.84354441703136
"Alpine",160,52,285,138,310,7.4,70,326,"FWD","B - Compact",3997,1823,1512,"Hatchback",2.00148000021012,5.78689738136671,4.24849524204936,5.07517381523383,5.65248918026865
"Alpine",170,52,300,144,305,6.4,70,326,"FWD","B - Compact",3997,1823,1512,"Hatchback",1.85629799036563,5.78689738136671,4.24849524204936,5.13579843705026,5.7037824746562
"Audi",210,75.8,435,146,465,6,150,502,"RWD","JE - Executive",4928,1923,1455,"Station/Estate",1.79175946922805,6.21860011969173,5.01063529409626,5.34710753071747,6.07534603108868
"Audi",210,94.9,565,151,575,5.4,200,502,"RWD","JE - Executive",4928,1923,1455,"Station/Estate",1.68639895357023,6.21860011969173,5.29831736654804,5.34710753071747,6.33682573114644
"Audi",210,94.9,855,157,560,4.5,200,502,"AWD","JE - Executive",4928,1923,1455,"Station/Estate",1.50407739677627,6.21860011969173,5.29831736654804,5.34710753071747,6.75110146893676
"Audi",210,75.8,435,136,495,6,150,502,"RWD","JE - Executive",4928,1923,1455,"Liftback Sedan",1.79175946922805,6.21860011969173,5.01063529409626,5.34710753071747,6.07534603108868
"Audi",210,94.9,565,141,610,5.4,200,502,"RWD","JE - Executive",4928,1923,1455,"Liftback Sedan",1.68639895357023,6.21860011969173,5.29831736654804,5.34710753071747,6.33682573114644
"Audi",210,94.9,855,147,590,4.7,200,502,"AWD","JE - Executive",4928,1923,1455,"Liftback Sedan",1.54756250871601,6.21860011969173,5.29831736654804,5.34710753071747,6.75110146893676
"Audi",160,59,310,156,340,8.1,110,520,"RWD","JC - Medium",4588,1865,1614,"SUV",2.09186406167839,6.25382881157547,4.70048036579242,5.07517381523383,5.73657229747919
"Audi",180,77,545,162,435,6.7,120,535,"RWD","JC - Medium",4588,1865,1614,"SUV",1.90210752639692,6.28226674689601,4.78749174278205,5.19295685089021,6.30078579466324
"Audi",180,77,679,165,410,6.6,120,535,"AWD","JC - Medium",4588,1865,1614,"SUV",1.88706964903238,6.28226674689601,4.78749174278205,5.19295685089021,6.5206211275587
"Audi",180,77,679,165,415,5.4,120,535,"AWD","JC - Medium",4588,1865,1614,"SUV",1.68639895357023,6.28226674689601,4.78749174278205,5.19295685089021,6.5206211275587
"Audi",160,59,310,159,325,8.1,110,520,"RWD","JC - Medium",4588,1865,1632,"SUV",2.09186406167839,6.25382881157547,4.70048036579242,5.07517381523383,5.73657229747919
"Audi",180,77,545,169,420,6.7,120,520,"RWD","JC - Medium",4588,1865,1632,"SUV",1.90210752639692,6.25382881157547,4.78749174278205,5.19295685089021,6.30078579466324
"Audi",180,77,679,171,395,6.6,120,520,"AWD","JC - Medium",4588,1865,1632,"SUV",1.88706964903238,6.25382881157547,4.78749174278205,5.19295685089021,6.5206211275587
"Audi",180,77,679,171,395,5.4,120,520,"AWD","JC - Medium",4588,1865,1632,"SUV",1.68639895357023,6.25382881157547,4.78749174278205,5.19295685089021,6.5206211275587
"Audi",210,75.8,450,166,395,7,150,526,"RWD","JD - Large",4771,1939,1685,"SUV",1.94591014905531,6.26530121273771,5.01063529409626,5.34710753071747,6.10924758276437
"Audi",210,75.8,450,139,410,7,150,511,"RWD","JD - Large",4771,1939,1665,"SUV",1.94591014905531,6.2363695902037,5.01063529409626,5.34710753071747,6.10924758276437
"Audi",210,94.9,485,145,510,6.6,190,511,"RWD","JD - Large",4771,1939,1665,"SUV",1.88706964903238,6.2363695902037,5.24702407216049,5.34710753071747,6.18414889093748
"Audi",210,94.9,855,149,500,5.9,200,511,"AWD","JD - Large",4771,1939,1665,"SUV",1.77495235091167,6.2363695902037,5.29831736654804,5.34710753071747,6.75110146893676
"Audi",210,94.9,485,171,490,6.6,190,526,"RWD","JD - Large",4771,1939,1685,"SUV",1.88706964903238,6.26530121273771,5.24702407216049,5.34710753071747,6.18414889093748
"Audi",210,94.9,855,176,480,5.9,200,526,"AWD","JD - Large",4771,1939,1685,"SUV",1.77495235091167,6.26530121273771,5.29831736654804,5.34710753071747,6.75110146893676
"Audi",240,94.9,855,156,530,3.9,200,502,"AWD","JE - Executive",4928,1923,1493,"Station/Estate",1.3609765531356,6.21860011969173,5.29831736654804,5.48063892334199,6.75110146893676
"Audi",240,94.9,855,149,555,3.9,200,502,"AWD","JE - Executive",4928,1923,1465,"Liftback Sedan",1.3609765531356,6.21860011969173,5.29831736654804,5.48063892334199,6.75110146893676
